Restarted GMRES Parameters 
Maximum Iterations : 343
Tolerance :1e-06
Restart Iteration at 100
Iter[1] : 12.047761
Iter[2] : 1.7048615
Iter[3] : 0.62540561
Iter[4] : 0.62514273
Iter[5] : 0.27317168
Iter[6] : 0.17816182
Iter[7] : 0.17162962
Iter[8] : 0.1621198
Iter[9] : 0.10274775
Iter[10] : 0.085247865
Iter[11] : 0.084829849
Iter[12] : 0.073185774
Iter[13] : 0.063995523
Iter[14] : 0.055570598
Iter[15] : 0.055275822
Iter[16] : 0.040118742
Iter[17] : 0.038132259
Iter[18] : 0.036930647
Iter[19] : 0.031688874
Iter[20] : 0.030314109
Iter[21] : 0.029925769
Iter[22] : 0.029917375
Iter[23] : 0.026114189
Iter[24] : 0.024376881
Iter[25] : 0.023724664
Iter[26] : 0.019847523
Iter[27] : 0.019847522
Iter[28] : 0.018673837
Iter[29] : 0.015728883
Iter[30] : 0.015003374
Iter[31] : 0.012166051
Iter[32] : 0.012017434
Iter[33] : 0.010154626
Iter[34] : 0.0093930999
Iter[35] : 0.0086024645
Iter[36] : 0.0080476153
Iter[37] : 0.0079812504
Iter[38] : 0.0066901596
Iter[39] : 0.006689894
Iter[40] : 0.0060969064
Iter[41] : 0.0056034777
Iter[42] : 0.0050761258
Iter[43] : 0.0048935329
Iter[44] : 0.0040428293
Iter[45] : 0.0039919313
Iter[46] : 0.0035324726
Iter[47] : 0.0035323917
Iter[48] : 0.0033629324
Iter[49] : 0.0032561202
Iter[50] : 0.0029496922
Iter[51] : 0.0028851165
Iter[52] : 0.0027220638
Iter[53] : 0.0026897712
Iter[54] : 0.0026590029
Iter[55] : 0.0026177329
Iter[56] : 0.002615345
Iter[57] : 0.0025926647
Iter[58] : 0.0025702996
Iter[59] : 0.002562804
Iter[60] : 0.0024608748
Iter[61] : 0.002359322
Iter[62] : 0.0023239786
Iter[63] : 0.0022943733
Iter[64] : 0.0021875543
Iter[65] : 0.0021448504
Iter[66] : 0.0020885821
Iter[67] : 0.0020852931
Iter[68] : 0.0018430187
Iter[69] : 0.0018029748
Iter[70] : 0.0017292151
Iter[71] : 0.0017072532
Iter[72] : 0.001530679
Iter[73] : 0.001261238
Iter[74] : 0.0012583536
Iter[75] : 0.0011194476
Iter[76] : 0.0010681681
Iter[77] : 0.0010431455
Iter[78] : 0.0010084805
Iter[79] : 0.0010064993
Iter[80] : 0.00096037424
Iter[81] : 0.00095926116
Iter[82] : 0.00080642576
Iter[83] : 0.00062788319
Iter[84] : 0.00060666664
Iter[85] : 0.00040015444
Iter[86] : 0.00022937452
Iter[87] : 0.00013149278
Iter[88] : 0.00010421181
Iter[89] : 0.00010398702
Iter[90] : 8.4525125e-05
Iter[91] : 8.4382562e-05
Iter[92] : 6.923432e-05
Iter[93] : 5.3726172e-05
Iter[94] : 4.6499238e-05
Iter[95] : 4.5058022e-05
Iter[96] : 3.6804867e-05
Iter[97] : 3.5221703e-05
Iter[98] : 2.7871089e-05
Iter[99] : 1.4063913e-05
Iter[100] : 1.2855075e-05
Iter[101] : 1.1861669e-05
Iter[102] : 1.1368732e-05
Iter[103] : 1.1201042e-05
Iter[104] : 9.4882999e-06
Iter[105] : 9.2447905e-06
Iter[106] : 8.3124553e-06
Iter[107] : 8.2201485e-06
Iter[108] : 8.1417471e-06
Iter[109] : 6.8354756e-06
Iter[110] : 5.5675884e-06
Iter[111] : 4.8888763e-06
Iter[112] : 4.1514749e-06
Iter[113] : 4.1281764e-06
Iter[114] : 4.1217805e-06
Iter[115] : 3.9640854e-06
Iter[116] : 3.5538297e-06
Iter[117] : 3.5090081e-06
Iter[118] : 3.4776831e-06
Iter[119] : 3.0127286e-06
Iter[120] : 3.0111186e-06
Iter[121] : 2.593911e-06
Iter[122] : 2.5889974e-06
Iter[123] : 2.0824089e-06
Iter[124] : 2.0477094e-06
Iter[125] : 2.0459873e-06
Iter[126] : 1.6810069e-06
Iter[127] : 1.6136894e-06
Iter[128] : 1.4655853e-06
Iter[129] : 1.3569961e-06
Reached Solution before Max_Iterations
Residual : 9.9752429e-07
Mat-Vec Time : 0.0023104656
Print using templated GMRES.....
